"Id","Value"
6001x,-0.929409165136
6001y,0.487578308273
6002x,-0.902721071832
6002y,0.509151905429
6003x,-1.02747990528
6003y,-0.0347217206365
6004x,-0.968592982485
6004y,0.422243258804
6005x,-0.0408876100606
6005y,-1.02470818823
6006x,-0.865679106718
6006y,-0.301763079157
6007x,-0.165343700507
6007y,-1.02924215855
6008x,0.874410498763
6008y,0.232433984616
6009x,1.0257247814
6009y,-0.119354516865
6010x,-0.89723763351
6010y,0.447438852464
6011x,-0.622883615436
6011y,0.750464878392
6012x,-0.894347351244
6012y,-0.241255131497
6013x,-1.0291841362
6013y,0.0830245407538
6014x,0.532997746824
6014y,-0.821927652043
6015x,-0.336908839582
6015y,-1.01054769415
6016x,-0.3301905673
6016y,-1.00338301357
6017x,-0.843484709201
6017y,-0.410878344997
6018x,0.598724755975
6018y,-0.774495633756
6019x,-0.288396743898
6019y,0.881475895501
6020x,0.954530398276
6020y,0.134851718169
6021x,0.0318651341792
6021y,-1.0124001907
6022x,-0.575763429424
6022y,-0.827043625518
6023x,-0.994249822216
6023y,-0.0681321700492
6024x,0.526996898122
6024y,0.907035820726
6025x,-0.489627069086
6025y,-0.883356478618
6026x,0.186516977915
6026y,-0.916456649137
6027x,-0.84629822173
6027y,-0.298353510183
6028x,-0.676547738529
6028y,-0.843312485421
6029x,-1.04042313579
6029y,0.083231536931
6030x,0.690365318357
6030y,-0.734827650806
6031x,-0.380652818304
6031y,-0.970225135009
6032x,0.362478068632
6032y,-0.80584245646
6033x,-0.966731261854
6033y,0.436797362953
6034x,-0.941928599253
6034y,-0.158409892163
6035x,0.993816524456
6035y,-0.285233208737
6036x,-0.75638720736
6036y,-0.598827985839
6037x,0.0147628585465
6037y,-1.00470335263
6038x,0.63293750367
6038y,-0.70639563566
6039x,0.643754814191
6039y,-0.717104451651
6040x,0.748865470639
6040y,0.570004972015
6041x,-0.950316129728
6041y,-0.141777102336
6042x,0.866549655335
6042y,0.367915196836
6043x,1.0336162131
6043y,-0.0368059733202
6044x,0.0127069227012
6044y,-1.02822502641
6045x,-0.612782147614
6045y,-0.863759156723
6046x,-1.10202855075
6046y,-0.00527274201656
6047x,0.856310185111
6047y,0.310119671267
6048x,1.10083581892
6048y,-0.056193231942
6049x,0.911263202801
6049y,-0.420370065252
6050x,-1.00212875347
6050y,-0.0934640861748
6051x,-0.999167705007
6051y,0.00479395816731
6052x,-1.02489171351
6052y,-0.0714302509401
6053x,0.686885869511
6053y,-0.659711041908
6054x,0.77503606308
6054y,0.46556062348
6055x,1.01199235089
6055y,-0.0788807451251
6056x,-0.746155567922
6056y,0.652185750065
6057x,0.859306296582
6057y,-0.586365018792
6058x,0.372000022911
6058y,1.02858603221
6059x,-0.804817061846
6059y,0.60575851216
6060x,0.767704346573
6060y,0.575963875174
6061x,0.570373717525
6061y,0.875341836288
6062x,-0.0970818631739
6062y,0.985087089567
6063x,-0.904125719688
6063y,-0.212793269541
6064x,-0.109690269883
6064y,0.95157818632
6065x,-0.3237788827
6065y,-0.935020806261
6066x,0.497680831256
6066y,-0.79546642539
6067x,0.106479911928
6067y,-0.978746326904
6068x,-0.909756888568
6068y,-0.253493279645
6069x,0.0929457677815
